MLBCODE,full_name
121009,Pokey Reese
121099,Al Reyes
136608,Armando Rios
400093,Duaner Sanchez
150261,Scott Sauerbeck
123415,Salomon Torres
123725,Ron Villone
285064,Ryan Vogelsong
150337,Kip Wells
124328,Mike Williams
400063,Dave Williams
346852,Craig Wilson
333292,Jack Wilson
124704,Kevin Young
406895,Jose Acevedo
111213,Aaron Boone
137140,Russell Branyan
112087,Sean Casey
112128,Juan Castro
136600,Bruce Chen
235194,Gookie Dawkins
133225,Ryan Dempster
113296,Elmer Dessens
276055,Adam Dunn
113915,Shawn Estes
220594,Jared Fernandez
115056,Danny Graves
115135,Ken Griffey
115229,Jose Guillen
115383,Joey Hamilton
115649,Jimmy Haynes
346873,Luke Hudson
400290,Austin Kearns
117501,Barry Larkin
276053,Brandon Larson
150178,Jason LaRue
150288,Ruben Mateo
280061,Corky Miller
119215,Brian Moehler
276377,Wily Mo Pena
400079,Luis Pineda
277410,Chris Reitsma
150180,John Riedling
121206,Jose Rijo
122803,Kelly Stinnett
122975,Scott Sullivan
150114,Reggie Taylor
123842,Todd Walker
124171,Gabe White
150182,Scott Williamson
110184,Sandy Alomar
348561,John Barnes
110870,Gary Bennett
150450,Brent Butler
276336,Shawn Chacon
346871,Aaron Cook
400091,Jack Cust
113911,Bobby Estalella
150118,Brian Fuentes
115399,Mike Hampton
115732,Todd Helton
407298,Jason Jennings
150455,Jose Jimenez
116734,Todd Jones
137002,Gabe Kapler
118967,Kent Mercker
119673,Denny Neagle
119853,Greg Norton
276515,Jose Ortiz
134341,Jay Payton
150052,Ben Petrick
334393,Juan Pierre
400099,Jason Romano
122205,Terry Shumpert
133221,Justin Speier
150128,Dennis Stark
346874,Juan Uribe
425246,Cory Vance
123833,Larry Walker
124755,Todd Zeile
407792,Alfredo Amezaga
110236,Garret Anderson
110293,Kevin Appier
209068,Mickey Callaway
237800,Jeff Davanon
407791,Brendan Donnelly
275930,David Eckstein
113889,Darin Erstad
408210,Chone Figgins
114485,Brad Fullmer
114768,Benji Gil
136267,Troy Glaus
150456,Adam Kennedy
407793,John Lackey
117722,Alan Levine
400081,Mark Lukasiewicz
134260,Bengie Molina
150040,Jose Molina
119913,Alex Ochoa
150009,Ramon Ortiz
120190,Orlando Palmeiro
120401,Troy Percival
150010,Lou Pote
150369,Julio Ramirez
121640,Tim Salmon
150011,Scott Schoeneweis
121986,Aaron Sele
276912,Scot Shields
122596,Scott Spiezio
132220,Jarrod Washburn
276533,Ben Weber
279564,Shawn Wooten
150295,Micah Bowie
136268,Chad Bradford
291565,Eric Byrnes
136767,Eric Chavez
113660,Ray Durham
113679,Jermaine Dye
407885,Mark Ellis
407397,Esteban German
276543,Jason Grabowski
421685,Aaron Harang
115608,Scott Hatteberg
150421,Ramon Hernandez
150195,Erik Hiljus
218596,Tim Hudson
116798,David Justice
150477,Billy Koch
117756,Cory Lidle
150404,Ted Lilly
150239,Terrence Long
118065,John Mabry
118141,Mike Magnante
150424,Cody McKay
118898,Jim Mecir
236427,Frank Menechino
150426,Mark Mulder
119616,Greg Myers
276516,Adam Piatt
121215,Ricardo Rincon
121616,Olmedo Saenz
123009,Larry Sutton
134641,Jeff Tam
123173,Miguel Tejada
123603,Mario Valdez
123690,Randy Velarde
217096,Barry Zito
132787,Dave Berg
406954,Brian Bowles
112020,Chris Carpenter
408211,Kevin Cash
407859,Scott Cassidy
277412,Pasqual Coco
112903,Jose Cruz
113232,Carlos Delgado
113898,Kelvim Escobar
400105,Bob File
136880,Roy Halladay
424805,Mark Hendrickson
115803,Felix Heredia
400134,Eric Hinske
279570,Ken Huckaby
407861,Orlando Hudson
424625,Jason Kershner
150478,Joe Lawrence
117842,Esteban Loaiza
150479,Felipe Lopez
407193,Brandon Lyon
277405,Justin Miller
120247,Steve Parris
150482,Josh Phelps
131700,Cliff Politte
150389,Luke Prokopec
431079,Mike Smith
122784,Shannon Stewart
150201,Pedro Swann
407903,Corey Thurman
123839,Pete Walker
150484,Vernon Wells
150029,Jayson Werth
424364,Scott Wiggins
134263,Tom Wilson
276547,Dewayne Wise
218595,Chris Woodward
150466,Brent Abernathy
110209,Wilson Alvarez
150149,Nick Bierbrodt
407376,Dewon Brazelton
112065,Larry Carter
400125,Jesus Colome
150152,Jason Conti
150132,Steve Cox
408307,Carl Crawford
150087,Luis de los Santos
407905,Felix Escalona
114208,John Flaherty
421104,Lee Gardner
114909,Chris Gomez
115132,Ben Grieve
150134,Toby Hall
150135,Travis Harper
150137,Paul Hoover
333492,Aubrey Huff
400126,Delvin James
116641,Russ Johnson
406773,Joe Kennedy
407902,Steve Kent
400127,Travis Phelps
150390,Damian Rolls
150142,Ryan Rupe
277409,Jared Sandberg
122109,Andy Sheets
400136,Jason Smith
285075,Jason Standridge
122915,Tanyon Sturtze
150244,Jason Tyner
123675,Greg Vaughn
124417,Paul Wilson
133160,Randy Winn
124643,Esteban Yan
406913,Victor Zambrano
276056,Danys Baez
408036,Josh Bard
150396,Milton Bradley
407777,Ben Broussard
111692,Dave Burba
111736,Ellis Burks
424825,Coco Crisp
425186,Jason Davis
113330,Einar Diaz
