season,player,pitch_type,total_times,swin_time,single,double,triple,home_run,score
2010,119469,CH,5,2,0,0,0,0,0.1407142857142857
2010,119469,FB,122,40,2,0,0,0,0.0445
2010,119469,KN,5,3,0,0,0,0,0.1407142857142857
2010,119469,SL,8,6,0,0,0,0,0.1407142857142857
2010,120044,CB,94,28,1,1,1,1,0.21
2010,120044,CH,122,68,5,1,0,1,0.115
2010,120044,CT,66,30,3,1,0,2,0.27133333333333337
2010,120044,FB,835,420,52,13,0,6,0.17950000000000005
2010,120044,KN,7,4,1,0,0,0,0.2225
2010,120044,SF,18,8,1,0,0,1,0.37375
2010,120044,SL,167,66,5,1,0,1,0.11848484848484847
2010,120074,CB,234,78,3,3,0,1,0.11
2010,120074,CH,317,142,16,4,1,3,0.1918309859154929
2010,120074,CT,126,70,4,3,0,2,0.16528571428571429
2010,120074,FB,1521,675,39,22,0,23,0.1643703703703704
2010,120074,SF,31,19,1,1,0,0,0.1136842105263158
2010,120074,SL,350,142,7,2,0,3,0.10612676056338027
2010,120221,FB,1,1,0,0,0,0,0.1407142857142857
2010,120485,CB,5,2,1,0,0,0,0.445
2010,120485,FB,10,4,0,0,0,0,0.1407142857142857
2010,120485,SF,4,0,0,0,0,0,0.1407142857142857
2010,120485,SL,1,0,0,0,0,0,0.1407142857142857
2010,120691,CB,239,75,5,4,0,1,0.15506666666666669
2010,120691,CH,285,125,9,4,0,4,0.17192000000000002
2010,120691,CT,98,44,3,2,0,2,0.2138636363636364
2010,120691,FB,1024,401,30,14,1,10,0.16733167082294262
2010,120691,KN,19,8,0,0,0,0,0.1407142857142857
2010,120691,SF,47,25,2,0,0,0,0.0712
2010,120691,SL,211,85,9,1,0,1,0.13388235294117645
2010,120903,CB,100,25,2,1,0,0,0.122
2010,120903,CH,83,37,5,1,0,2,0.2681081081081081
2010,120903,CT,67,31,2,1,0,0,0.09838709677419354
2010,120903,FB,805,364,40,13,0,3,0.16046703296703296
2010,120903,KN,9,8,1,0,0,1,0.37375
2010,120903,SF,12,6,2,0,0,0,0.2966666666666667
2010,120903,SL,188,66,2,0,0,3,0.12242424242424242
2010,121074,CB,121,47,9,0,0,0,0.17042553191489362
2010,121074,CH,124,59,5,1,0,0,0.0969491525423729
2010,121074,CT,98,43,4,1,0,1,0.16116279069767442
2010,121074,FB,683,301,34,9,2,3,0.17019933554817274
2010,121074,KN,8,6,1,0,0,0,0.14833333333333334
